日语一级至四级级词汇表																
汉字	假名(读音)	词性	词义
うつ伏せる	うつぶせる	自他一	倒置；俯伏、趴着
俯く	うつむく	自五	俯首、垂头
移る	うつる	自五	迁移、搬动；（地位等）发生变化；变迁；（话题、兴趣发生）变化；传染；熏上、染上
写る，映る	うつる	自五	映、照；被拍摄；照相
器	うつわ	名	器皿；才能、气量
腕	うで	名	手腕、胳膊；本事、技能
うとうと	うとうと	副，サ変	迷迷糊糊、昏昏沉沉
促す	うながす	他五	催促、敦促；促进、劝说
鰻	うなぎ	名	鳗鱼、鳝鱼
頷く	うなずく	自五	首肯、点头
項垂れる	うなだれる	自下一	低头、垂头
唸る	うなる	自五	（猛兽、犬类）吼、啸、叫等；呻吟、哼哼；发出呜呜声；吟、哼、唱；赞叹、叫好；有很多
自惚れる	うぬぼれる	自下一	自负、陶醉
うねる	うねる	自五	蜿蜒起伏
奪う	うばう	他五	抢夺；强烈吸引、迷人
馬	うま	名	马
旨い	うまい	形	美味的；高明、擅长；方便、顺利
旨味	うまみ	名	美味、好味道；巧妙、有益处；利益
埋まる	うまる	自五	埋着；满满；填补、弥补
生まれる	うまれる	自下一	出生、诞生；产生、出现
海	うみ	名	海岸、湖滨
膿	うみ	名	脓
生み出す	うみだす	他五	生、产；产生出、创造出
生む，産む	うむ	他五	生、产；产生、产出
有無	うむ	名	有无
梅	うめ	名	梅花、梅树、梅子
埋める	うめる	他下一	埋入；填满；满满的；填补；（往热水里）兑凉水
恭しい	うやうやしい	形	彬彬有礼、恭敬的
敬う	うやまう	他五	尊敬、尊重
浦	うら	名	海滨、海湾
裏	うら	名	里面；反面、背面；货币的背面；衣服等的里子；鞋底；后面；内幕；幕后
裏切る	うらぎる	他五	不守信条、背叛；辜负、与期待相反
占う	うらなう	他五	占卜
恨む	うらむ	他五	怨恨、抱怨
羨ましい	うらやましい	形	羡慕
麗らか	うららか	形動	和煦、晴朗；快乐
売り切れる	うりきれる	自下一	卖光
売り込む	うりこむ	他五	推销；（自我）推销、争取信任
売り出す	うりだす	他五	开始出售；崭露头角
売る	うる	他五	卖、出售；沽名、扬名；出卖、背叛；找碴、挑起
潤う	うるおう	自五	湿润；受益、受惠
煩い，五月蝿い	うるさい	形	吵闹；讨厌、烦人；纠缠不休；议论纷纷
漆	うるし	名	漆
潤む	うるむ	自五	湿润
麗しい	うるわしい	形	美丽、动人；晴朗；健康
憂い	うれい	名	担心、忧虑
嬉しい	うれしい	形	高兴、快活
売れ行き	うれゆき	名	（商品的）销售情况、销路
うろうろ	うろうろ	副，サ変	徘徊、彷徨；心神不安、不知所措
浮気	うわき	名	见异思迁、对爱情不专一
噂	うわさ	名	闲谈、传言、风言风语
上滑り	うわすべり	名，形動，サ変	表面光滑；肤浅、皮毛
上手	うわて	名	强手；高明
運	うん	名	运气
運営	うんえい	名，他サ	运作、管理
うんざり	うんざり	副，サ変	厌烦、腻
運送	うんそう	名，サ変	运送
運転	うんてん	名，サ変	驾驶；操纵；运转、周转
運動	うんどう	名，サ変	运动
運命	うんめい	名	命运
運輸	うんゆ	名	运输
運用	うんよう	名，他サ	运用
絵	え	名	绘画、画面
永遠	えいえん	名	永远
映画	えいが	名	电影
永久	えいきゅう	名	永久、永远
影響	えいきょう	名，サ変	影响
営業	えいぎょう	名，サ変	营业
英語	えいご	名	英语
栄光	えいこう	名	光荣
衛生	えいせい	名	卫生
衛星	えいせい	名	卫星
映像	えいぞう	名	影像、映像；印象
英雄	えいゆう	名	英雄
栄誉	えいよ	名	荣誉
栄養	えいよう	名	营养
営利	えいり	名	盈利、谋利
笑顔	えがお	名	笑脸、笑容
描く	えがく	他五	画、描绘；造型；表现；想象
駅	えき	名	车站
液体	えきたい	名	液体
笑窪	えくぼ	名	酒窝、笑窝
抉る	えぐる	他五	挖、剜；刺痛；追究、深挖
えこ	えこ	名	偏袒、不公平
餌	えさ	名	饲料；诱饵、食物（俗）
枝	えだ	名	枝
得体	えたい	名	本来面目
閲覧	えつらん	名，サ変	阅览
江戸	えど	名	江户（东京的旧称）
笑み	えみ	名	笑脸；（果实成熟后的）裂口
獲物	えもの	名	猎获物；战利品
偉い	えらい	形	杰出、卓越；地位（身份）高；（出乎意料地）严重、厉害
選ぶ	えらぶ	他五	挑选；看重；选拔；选举
襟	えり	名	衣襟
選り好み	えりごのみ	名	挑剔
得る	える	他下一	（通过努力、手段等）得到；能、可能
円	えん	名	圆形；日元
縁	えん	名	缘分、血缘、姻缘、关系
延延	えんえん	形動	没完没了
円滑	えんかつ	形動	圆滑；顺利
縁起	えんぎ	名	事物、寺庙等的由来；前兆
演技	えんぎ	名	演技
婉曲	えんきょく	形動	委婉、婉转
演劇	えんげき	名	演剧、戏剧
援護	えんご	名，サ変	支援、援救
演習	えんしゅう	名，サ変	演练；大学的专题讨论；军队的演习
演出	えんしゅつ	名，サ変	（戏剧、电视剧等的）导演
援助	えんじょ	名，サ変	支援、援救
炎症	えんしょう	名	炎症
演じる	えんじる	他上一	上演、演出；做出（坏事等）、扮演
沿線	えんせん	名	沿线、沿途
演説	えんぜつ	名	演说
演奏	えんそう	名，他サ	演奏
縁談	えんだん	名	亲事、说媒
延長	えんちょう	名，サ変	延长；延长时间；全长；延长线
鉛筆	えんぴつ	名	铅笔
円満	えんまん	名，形動	完满、完美；圆满
遠慮	えんりょ	名，自サ	远虑；礼让、谦虚；客气；谢绝
老い	おい	名	老年、衰老
追いかける	おいかける	他下一	追赶；迫于；紧接
追い越す	おいこす	他五	赶超；超过
追い込む	おいこむ	他五	赶进；比如困境
美味しい	おいしい	形	味美、好吃；有魅力
追い出す	おいだす	他五	赶出某地；逐出某组织、集团等
生い立ち	おいたち	名	成长；经历
追い立てる	おいたてる	他下一	驱赶；驱逐；追赶
追い詰める	おいつめる	他下一	追猎物；穷追
追い払う	おいはらう	他五	驱赶；轰走
追う	おう	他五	追赶犯人、猎物等；驱赶；轰走；驱逐、清除；追求；按照顺序、随着时间
負う	おう	他五	背负；接受、担负责任；多亏、借助于；受伤
応援	おうえん	名，サ変	支持；声源、从旁助威
応急	おうきゅう	名	应急
往生	おうじょう	名，サ変	（佛教）往生、极乐净土；死；难于应付、一筹莫展
応じる	おうじる	自上一	回答；应允、满足；适应、按照
応接	おうせつ	名，サ変	接待
応対	おうたい	名，サ変	接待、应酬
横断	おうだん	名，他サ	横穿；横断、横越
横着	おうちゃく	名，形動，サ変	脸皮厚、懒惰
応答	おうとう	名，サ変	应答、应对
往復	おうふく	名，サ変	往返；书信往来；交际
欧米	おうべい	名	欧美
応募	おうぼ	名，サ変	应聘、应征
横暴	おうぼう	名，形動	蛮横
応用	おうよう	名，サ変	应用
往来	おうらい	名	往来；道路；交际
終える	おえる	他下一	完成、结束
多い	おおい	形	数量多；次数多、程度深
覆う	おおう	他五	蒙上、盖上；充满；包藏、掩饰；笼罩
大方	おおかた	名，副	大体、大致；大约是
大型	おおがた	名	大型
大きい	おおきい	形	大的、个子高的；数目大；音量大；年长的；成长、长大；（规模等）大；夸大、夸张；显得了不起、傲慢；胸怀开阔；重大
大きな	おおきな	連体	大的、个子高的；数目大；音量大；年长的；成长、长大；（规模等）大；夸大、夸张；显得了不起、傲慢；胸怀开阔；重大
大げさ	おおげさ	形動	夸大、小题大做、铺张
大ざっぱ	おおざっぱ	形動	粗略、大致；粗糙、草率
大勢	おおぜい	名	人数多
大まか	おおまか	形動	大大咧咧、粗略；大致
大晦日	おおみそか	名	除夕、大年三十
概ね	おおむね	副	基本上、大约
大家	おおや	名	房东、房主
公	おおやけ	名	公家、各级政府、集体组织；公共；公开
丘	おか	名	丘陵、山岗、小山
可笑しい	おかしい	形	可笑的、滑稽的；不正常的；可疑的
侵す	おかす	他五	侵犯（国土、领域等）
犯す	おかす	他五	犯法、违反道德；强奸、施暴
冒す	おかす	他五	冒着危险、不顾困难；加害、带来伤害；亵渎
拝む	おがむ	他五	礼拜、祈愿；恳求、央求；瞻仰、见识
補う	おぎなう	他五	弥补
起きる	おきる	自上一	起床；不睡；离开病床；起身、站起来；发生、产生
奥	おく	名	里头、深处；后面；里屋、内宅、上房；胸中
億	おく	名	亿
置く	おく	自他五	摆、置；放置；放下、留下、丢下；购入以备出售；设置；任命、雇用；留在家住；积存、委托；搁笔；保存；隔、间隔；处于某种状态；预先做好某种准备动作；继续保持某种状态
憶測	おくそく	名，サ変	臆测
奥の手	おくのて	名	绝招、花招；秘诀
臆病	おくびょう	名，形動	胆怯
臆面	おくめん	名	腼腆、害羞
奥行き	おくゆき	名	进深、纵深；（学文）等的深度
送る	おくる	他五	邮寄；派遣；送人、送行；吊唁、送别（死者）；渡过；依此传递、移动；送；标上送假名
贈る	おくる	他五	赠送；授予（称号等）；报以、致以
遅れる	おくれる	自下一	迟到、赶不上；比预定晚；钟、表慢了
起こす，興す	おこす	他五	扶起；叫醒；翻起、弄起；开始；发动；生病；（思想、感情等）引起、惹起；发热、发电
厳か	おごそか	形動	庄严、肃穆
怠る	おこたる	自他五	懒惰、松懈、大意
行う	おこなう	他五	做、办；实施、举行
起る	おこる	自五	发生、产生；起因；兴起、起源；发热、发电；电源
興る	おこる	自五	繁荣、兴起
怒る	おこる	自五	生气；训斥、呵斥
奢る	おごる	自五	奢侈、铺张；请客、做东
押さえる	おさえる	他下一	压、按、捂；堵；抓住
抑える	おさえる	他下一	抑制；压倒、凌驾；抑制感情；降低程度
幼い	おさない	形	幼小的；幼稚的
治まる	おさまる	自五	变得安定；止痛；心情平静
収まる	おさまる	自五	收纳、整齐地收好；解决、平息
納まる	おさまる	自五	缴纳；稳坐……的交椅；心满意足
修まる	おさまる	自五	端正
治める	おさめる	他下一	平定；统治、治理
収める	おさめる	他下一	收录；获得
納める	おさめる	他下一	接受；缴纳；结束
修める	おさめる	他下一	掌握学问；修、修养
惜しい	おしい	形	珍惜、可贵；可惜、委屈；遗憾
お爺さん	おじいさん	名	爷爷、祖父、外祖父
教える	おしえる	他下一	教、传授；告诉、指点
お辞儀	おじぎ	名，サ変	敬礼、行礼、鞠躬
押し切る	おしきる	他五	（不顾反对）坚持到底
押しつける	おしつける	他下一	压上、按上；强加于人
惜しむ	おしむ	他五	珍惜；认为可惜、吝啬；惋惜
おしゃべり	おしゃべり	形動，名，サ変	闲聊、聊天；多嘴多舌、健谈（的人）；议论、传言、风言风语
お洒落	おしゃれ	名，形動	好打扮、爱俏（的人）
押す，推す，捺す	おす	他五	推、挤；压、碰；盖章；强行；压倒；顶住、不顾
雄	おす	名	雄性
お世辞	おせじ	名	恭维（话）、奉承（话）
